cluster_id,site_name,delineation_failed,confidence,offset_east_m,offset_north_m,radius_m,visual_note
idp_NG008003_1,Gssss Camp Bama,FALSE,high,20,90,380,"Dense regular grid clearly visible and mostly isolated from town fabric further out; DTM point sits toward south edge of the block, shifted estimate slightly N/NE to better centre on the visible dense grid."
idp_NG008013_7,El-Miskin Camp I Camp,TRUE,NA,,,,"Site sits within continuous dense Jere/Maiduguri peri-urban fabric with no distinguishable camp-specific boundary; a regular white-roof grid ~150m NW of the point may be relevant but cannot be confidently attributed to this site specifically. Fixed-radius buffer fallback."
idp_NG008025_1,International School Camp,FALSE,high,-80,0,380,"Isolated wedge-shaped dense settlement block clearly separated from surrounding farmland by open ground; a secondary dense block ~150m S also visible and included within radius. High confidence."
idp_NG008024_5,Water Board,TRUE,NA,,,,"Site sits within continuous dense Monguno town fabric with no distinguishable camp-specific boundary. Fixed-radius buffer fallback."
idp_NG008019_1,Government Girls' Secondary School (Mafa),FALSE,medium,0,180,300,"Distinct regular grid block visible, extending mostly N of the DTM point (point sits near the block's southern edge, consistent with a registration-point-not-centroid pattern); block is contiguous with surrounding town fabric to the E so extent estimate is less certain than isolated-site cases."
idp_NG008024_10,Government Girls Secondary School (Ggss) - Monguno,TRUE,NA,,,,"Site sits within continuous dense Monguno town fabric with no distinguishable camp-specific boundary. Fixed-radius buffer fallback."
idp_NG008011_8,Reception/Transit Camp,FALSE,high,20,60,230,"Distinct regular small-shelter grid pattern (visually different texture from surrounding town) directly at/around the DTM point; a second similar grid block ~300m SW likely a related but separate cluster, not included to keep the estimate conservative."
idp_NG008015_3,Klagaru Camp,FALSE,high,0,-180,300,"Isolated roughly circular settlement blob clearly separated from surrounding riverine/farmland terrain; DTM point sits near the N edge of the blob, most of the mass extends S."
idp_NG007006_7,Ortese Camp,FALSE,medium,0,0,250,"Small distinct regular grid immediately at the DTM point, clearly separated from scattered buildings further E across the road; low absolute footprint count (633) relative to 3,864 recorded households suggests Open Buildings under-detects this rural context, so radius padded beyond the visible grid alone."
idp_NG007008_4,Naka Idp Camp,TRUE,NA,,,,"Site sits within a dispersed rural town (Naka) with continuous scattered building pattern in all directions - no distinguishable camp-specific cluster. Fixed-radius buffer fallback."
idp_NG008013_17,Shuwari-Kaleri Housing Unit Camp,FALSE,high,0,0,350,"Very clean, highly regular planned housing grid, clearly isolated from surrounding farmland, DTM point almost exactly centred. Highest-confidence delineation of the 15."
idp_NG008008_1,Masarmari Camp,FALSE,medium,0,0,200,"Modest cluster of structures at the DTM point, separated by a visible gap of open ground from the much larger Dikwa town mass further S - plausible but smaller/less certain than the high-confidence cases."
idp_NG007013_5,International Market Camp,FALSE,medium,0,0,140,"Small cluster of visually distinct (tan/orange-roofed) structures at the DTM point within dense Makurdi urban fabric; kept to a tight radius given how embedded the site is in the surrounding city."
idp_NG008024_1,Fulatari Camp,TRUE,NA,,,,"Only a handful of structures visible near the DTM point on mostly bare ground, separated from the main Monguno-area town mass; too sparse/ambiguous to confidently distinguish camp extent from incidental structures. Fixed-radius buffer fallback."
idp_NG007006_12,Daudu Camp 3,TRUE,NA,,,,"Small cluster at the DTM point embedded in a dispersed rural settlement pattern (Daudu) with no clean boundary distinguishing camp from general town. Fixed-radius buffer fallback."
